,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,bedrooms_per_house,rooms_per_house,population_per_house
0,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,False,False,False,True,False,1.0238095238095237,6.984126984126984,2.5555555555555554
1,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,False,False,False,True,False,0.9718804920913884,6.238137082601054,2.109841827768014
2,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,False,False,False,True,False,1.073446327683616,8.288135593220339,2.8022598870056497
3,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,False,False,False,True,False,1.0730593607305936,5.8173515981735155,2.547945205479452
4,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,False,False,False,True,False,1.0810810810810811,6.281853281853282,2.1814671814671813
5,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,False,False,False,True,False,1.1036269430051813,4.761658031088083,2.139896373056995
6,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,False,False,False,True,False,0.9513618677042801,4.9319066147859925,2.1284046692607004
7,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,False,False,False,True,False,1.061823802163833,4.797527047913447,1.7882534775888717
8,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,False,False,False,True,False,1.1176470588235294,4.294117647058823,2.026890756302521
9,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,False,False,False,True,False,0.9901960784313726,4.970588235294118,2.172268907563025
10,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,False,False,False,True,False,1.0796019900497513,5.477611940298507,2.263681592039801
11,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,False,False,False,True,False,1.0245231607629428,4.772479564032698,2.0490463215258856
12,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,False,False,False,True,False,1.0128205128205128,5.322649572649572,2.3461538461538463
13,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,False,False,False,True,False,1.0977011494252873,4.0,1.9827586206896552
14,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,False,False,False,True,False,1.0096774193548388,4.262903225806451,1.9548387096774194
15,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,False,False,False,True,False,1.071969696969697,4.242424242424242,2.640151515151515
16,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,False,False,False,True,False,1.0483383685800605,5.9395770392749245,2.395770392749245
17,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,False,False,False,True,False,0.966996699669967,4.052805280528053,2.1386138613861387
18,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,False,False,False,True,False,1.0859188544152745,5.343675417661098,2.3627684964200477
19,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,False,False,False,True,False,1.0836363636363637,5.465454545454546,2.5090909090909093
20,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,False,False,False,True,False,1.108433734939759,4.524096385542169,2.463855421686747
21,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,False,False,False,True,False,1.0027322404371584,4.478142076502732,2.5382513661202184
22,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,False,False,False,True,False,1.1317991631799162,5.096234309623431,2.1234309623430963
23,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,False,False,False,True,False,1.0369230769230768,5.193846153846154,2.624615384615385
24,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,False,False,False,True,False,1.0355450236966826,5.270142180094787,2.3838862559241707
25,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,False,False,False,True,False,1.0336134453781514,4.495798319327731,2.6638655462184873
26,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,False,False,False,True,False,1.0209205020920502,4.7280334728033475,2.5397489539748954
27,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,False,False,False,True,False,1.0604534005037782,4.7808564231738035,2.7758186397984885
28,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,False,False,False,True,False,1.040169133192389,4.40169133192389,2.3911205073995774
29,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,False,False,False,True,False,1.032258064516129,4.703225806451613,2.5483870967741935
30,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,False,False,False,True,False,1.1825396825396826,5.068783068783069,2.2830687830687832
31,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,False,False,False,True,False,1.090702947845805,4.882086167800454,2.6485260770975056
32,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,False,False,False,True,False,1.2208955223880598,5.737313432835821,3.062686567164179
33,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,False,False,False,True,False,1.1124620060790273,5.0303951367781155,2.291793313069909
34,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,False,False,False,True,False,1.0708955223880596,4.972014925373134,2.3470149253731343
35,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,False,False,False,True,False,1.0681818181818181,4.6022727272727275,2.159090909090909
36,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,False,False,False,True,False,1.1550802139037433,4.807486631016043,2.6390374331550803
37,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,False,False,False,True,False,0.967741935483871,3.7493796526054592,2.235732009925558
38,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,False,False,False,True,False,1.0679611650485437,4.757281553398058,2.2297734627831716
39,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,False,False,False,True,False,1.0272988505747127,3.4942528735632186,1.978448275862069
40,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,False,False,False,True,False,1.0607594936708862,4.215189873417722,2.3949367088607594
41,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,False,False,False,True,False,1.248995983935743,3.7590361445783134,2.076305220883534
42,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,False,False,False,True,False,1.0687830687830688,3.7724867724867726,2.4444444444444446
43,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,False,False,False,True,False,1.02020202020202,4.797979797979798,2.3585858585858586
44,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,False,False,False,True,False,1.0650684931506849,4.941780821917808,2.26027397260274
45,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,False,False,False,True,False,1.0994764397905759,4.335078534031414,1.8795811518324608
46,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,False,False,False,True,False,1.0592105263157894,3.700657894736842,2.026315789473684
47,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,False,False,False,True,False,1.233201581027668,3.9802371541501977,2.205533596837945
48,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,False,False,False,True,False,1.21875,3.9,2.64375
49,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,False,False,False,True,False,1.0653409090909092,2.6875,1.9886363636363635
50,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,False,False,False,True,False,1.0342465753424657,2.045662100456621,1.678082191780822
51,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,False,False,False,True,False,1.1203931203931203,4.58968058968059,2.6068796068796067
52,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,False,False,False,True,False,1.1847222222222222,4.473611111111111,2.720833333333333
53,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,False,False,False,True,False,1.14,4.075,2.905
54,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,False,False,False,True,False,1.0085836909871244,5.021459227467811,3.0085836909871246
55,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,False,False,False,True,False,1.1045454545454545,4.295454545454546,2.618181818181818
56,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,False,False,False,True,False,1.111969111969112,4.77992277992278,2.4015444015444016
57,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,False,False,False,True,False,1.3729508196721312,6.102459016393443,2.9836065573770494
